hanzi,translation,pinyin
岸上,ashore,ànshàng
拔,pull,bá
白酒,White wine,báijiǔ
版,Version,bǎn
棒,Baton,bàng
报警,Call the police,bàojǐng
抱怨,complain,bàoyuàn
背包,backpack,bēibāo
悲剧,tragedy,bēijù
悲伤,sad,bēishāng
辈,generation,bèi
必,must,bì
必需,Required,bìxū
闭幕,Closing,bìmù
闭幕式,Closing Ceremony,bìmùshì
变动,change,biàndòng
宾馆,Hotel,bīnguǎn
饼,cake,bǐng
博客,Blog,bókè
不利,unfavorable,bùlì
不幸,unfortunately,bùxìng
不易,Not easy,bùyì
不曾,Never,bùcéng
不良,bad,bùliáng
不免,Inevitably,bùmiǎn
不能不,Can&#39;t help but,bùnéngbù
不停,Non-stop,bùtíng
不许,Not allowed,bùxǔ
猜测,guess,cāicè
餐馆,restaurant,cānguǎn
餐厅,restaurant,cāntīng
餐饮,food,cānyǐn
草原,grassland,cǎoyuán
叉,cross,chā
差别,difference,chābié
差距,gap,chājù
查询,Inquire,cháxún
拆除,tear down,chāichú
长度,length,chángdù
长寿,longevity,chángshòu
肠,intestinal,cháng
厂长,Plant manager,chǎngzhǎng
车主,Car owner,chēzhǔ
称²,Weigh ²,chēng²
城里,In the city,chénglǐ
乘,Multiply,chéng
乘车,Ride,chéngchē
乘客,passenger,chéngkè
池子,pond,chízi
迟,late,chí
愁,worry,chóu
出汗,Sweating,chūhàn
出于,Out of,chūyú
初期,Early,chūqī
厨房,kitchen,chúfáng
处罚,Punishment,chǔfá
处在,Be in,chùzài
传递,transfer,chuándì
辞典,dictionary,cídiǎn
此后,After that,cǐhòu
此刻,now,cǐkè
此时,at this time,cǐshí
从中,from,cóngzhōng
脆,brittle,cuì
存款,deposit,cúnkuǎn
寸,Inch,cùn
答,answer,dá
打,hit,dǎ
大胆,Bold,dàdǎn
大都,Most,dàdū
大纲,Outline,dàgāng
大奖赛,Grand Prix,dàjiǎngsài
大脑,brain,dànǎo
大事,event,dàshì
大厅,hall,dàtīng
大熊猫,Giant panda,dàxióngmāo
大于,more than the,dàyú
待,To be,dài
带有,With,dàiyǒu
单一,single,dānyī
胆,Guts,dǎn
胆小,timid,dǎnxiǎo
当代,Contemporary,dāngdài
当年,then,dāngnián
到来,arrival,dàolái
倒是,But,dǎoshì
得了,Got it,déle
得以,Be able to,déyǐ
等候,waiting,děnghòu
低于,Below,dīyú
地带,zone,dìdài
地形,terrain,dìxíng
递给,Hand it to,dìgěi
点燃,ignite,diǎnrán
电饭锅,Rice cooker,diànfànguō
电子版,e-edition,diànzibǎn
豆制品,Soy products,dòuzhìpǐn
毒,poison,dú
朵,Do,duǒ
躲,hide,duǒ
儿女,Children,érnǚ
二维码,QR code,èrwéimǎ
罚,Punish,fá
法规,Regulations,fǎguī
法制,legal system,fǎzhì
返回,return,fǎnhuí
分成,Divided into,fēnchéng
分类,classification,fēnlèi
分离,Separate,fēnlí
分享,share it,fēnxiǎng
封,seal,fēng
疯,Crazy,fēng
服从,obey,fúcóng
负责人,principal,fùzérén
钢笔,pen,gāngbǐ
钢琴,piano,gāngqín
高大,tall,gāodà
高度,height,gāodù
高跟鞋,High heels,gāogēnxié
高温,high temperature,gāowēn
高于,Higher than,gāoyú
高原,plateau,gāoyuán
搞好,Do well,gǎohǎo
歌曲,song,gēqǔ
个儿,height,gèér
更换,replace,gēnghuàn
工艺,Craft,gōngyì
工作日,Working day,gōngzuòrì
共享,shared,gòngxiǎng
沟,ditch,gōu
古老,ancient,gǔlǎo
鼓,drum,gǔ
鼓掌,applaud,gǔzhǎng
怪,strange,guài
关怀,care,guānhuái
光荣,glory,guāngróng
光线,Light,guāngxiàn
广,wide,guǎng
鬼,ghost,guǐ
柜子,cabinet,guìzi
国籍,Country of Citizenship,guójí
国民,national,guómín
害,harm,hài
好运,good luck,hǎoyùn
盒,box,hé
盒饭,Box lunch,héfàn
贺卡,Greeting card,hèkǎ
猴,monkey,hóu
胡同儿,Alley,hútòngér
胡子,Moustache,húzi
虎,tiger,hǔ
华语,Chinese,huáyǔ
滑,slip,huá
画面,Picture,huàmiàn
慌,Panic,huāng
慌忙,hurried,huāngmáng
灰色,gray,huīsè
回头,Look back,huítóu
回信,reply,huíxìn
